Athlete Country,Horse Url,Horse Name,Discipline,Year of Birth,Sex,FEI ID Number,Colour,Breed,Groom,Sire,Owner,Second Owner,Athlete Url,Athlete Name,Country of Birth
Australia,../../../en/results/equestrian/horse-nh001114-quality-purdey.htm,QUALITY PURDEY,Equestrian,2006,Mare,104CB64,Chestnut,Springpferdezuchtverband Oldenburg-Int. e.V,COUSINS Coriander,,,,,,
Australia,../../../en/results/equestrian/horse-nh001115-vassily-de-lassos.htm,VASSILY DE LASSOS,Equestrian,2009,Gelding,104WG51,Chestnut,Stud Book Français du Cheval Anglo-Arabe,GIRARDEAU CLEMTINE,"ANDREW HOY, STEFANIE HOY","DAVID EVANS, PAULA EVANS","ANDREW HOY, STEFANIE HOY",../../../en/results/equestrian/athlete-profile-n1482507-hoy-andrew.htm,HOY Andrew,France
Australia,../../../en/results/equestrian/horse-nh001116-don-quidam.htm,DON QUIDAM,Equestrian,2008,Gelding,105EI33,Bay,Koninklijk Warmbloed Paardenstamboek Nederland,HARTLEY LUCY,,"SCUDERIA 1918, EMMA MCNAB",,../../../en/results/equestrian/athlete-profile-n1482503-mcnab-kevin.htm,McNAB Kevin,Netherlands
Australia,../../../en/results/equestrian/horse-nh001117-virgil.htm,VIRGIL,Equestrian,2005,Gelding,103EH36,Bay,Other,WATTS RACHEL,MICHELLE HASIBAR,"NIKI ROSE, SHANE ROSE",MICHELLE HASIBAR,../../../en/results/equestrian/athlete-profile-n1482502-rose-shane.htm,ROSE Shane,Australia
Australia,../../../en/results/equestrian/horse-nh001123-leporis.htm,LEPORIS,Equestrian,2011,Gelding,105US17,Black,Verband der Züchter des Holsteiner Pferdes e.V.,TINNEY KAREN,,"KAREN TINNEY, STUART TINNEY",,../../../en/results/equestrian/athlete-profile-n1482504-tinney-stuart.htm,TINNEY Stuart,Germany
Austria,../../../en/results/equestrian/horse-nh001124-dsp-fighting-line.htm,DSP FIGHTING LINE,Equestrian,2007,Gelding,104YH14,Chestnut,Deutsches Sportpferd,OEHNER JULIA,,MARIANNE MUEHLBOECK,,../../../en/results/equestrian/athlete-profile-n1337499-siegl-lea.htm,SIEGL Lea,Germany
Austria,../../../en/results/equestrian/horse-nh001127-dsp-cosma.htm,DSP COSMA,Equestrian,2009,Mare,104MX60,Chestnut,Deutsches Sportpferd,MEITZ ANITA,,KATRIN KHODDAM-HAZRATI,,../../../en/results/equestrian/athlete-profile-n1337493-khoddam-hazrati-katrin.htm,KHODDAM-HAZRATI Katrin,Germany
Belgium,../../../en/results/equestrian/horse-nh001129-alpaga-d-arville.htm,ALPAGA D'ARVILLE,Equestrian,2006,Gelding,103OO93,Bay,"Stud-book sBs, le Cheval de Sport Belge",STEWART EMMA,,LARGA SPRL,,../../../en/results/equestrian/athlete-profile-n1401973-de-liedekerke-meier-lara.htm,de LIEDEKERKE-MEIER Lara,Belgium
Belarus,../../../en/results/equestrian/horse-nh001132-carlo-grande-jr-.htm,CARLO GRANDE JR.,Equestrian,2010,Gelding,105RQ58,Bay,Polish Horse Breeders Association,PAZNIAKOU ALIAKASNDR,AND BREEDING CENTER,REPUBLIC OLYMPIC EQUESTRIAN,AND BREEDING CENTER,../../../en/results/equestrian/athlete-profile-n1456940-zelenko-alexandre.htm,ZELENKO Alexandre,Poland
Belarus,../../../en/results/equestrian/horse-nh001133-martinie.htm,MARTINIE,Equestrian,2006,Gelding,104UI81,Dark Bay,Deutsches Sportpferd,IVANOVA MARYNA,FOR APPLIED SPORTS,GOMEL REGION OLYMPIC CENTER,FOR APPLIED SPORTS,../../../en/results/equestrian/athlete-profile-n1456948-faminou-aliaksandr.htm,FAMINOU Aliaksandr,Germany
Brazil,../../../en/results/equestrian/horse-nh001135-glenfly.htm,GLENFLY,Equestrian,2005,Gelding,103XY85,Bay,Other,CARPENTER DEBORAH JAYNE,,MARCELO TOSI,,../../../en/results/equestrian/athlete-profile-n1357077-tosi-marcelo.htm,TOSI Marcelo,Ireland
Brazil,../../../en/results/equestrian/horse-nh001136-iberon-jmen.htm,IBERON JMEN,Equestrian,2002,Gelding,104GY67,Bay,Asso. Brasileira de Criadores do Cavalo de Hipismo,MALLET KIMBERLEY,,SAMATHA TONELLO,,../../../en/results/equestrian/athlete-profile-n1357074-appel-cheuiche-marcio.htm,APPEL CHEUICHE Marcio,Brazil
Brazil,../../../en/results/equestrian/horse-nh001138-fuiloda-g.htm,FUILODA G,Equestrian,2010,Mare,105FW75,Bay,Finnish Warmblood,BRIEDITIS NINNI AMANDA,RAFAEL MAMPRIN LOSANO,"CRISTIANA LOSANO, WAGNER LOSANO",RAFAEL MAMPRIN LOSANO,../../../en/results/equestrian/athlete-profile-n1357085-mamprin-losano-rafael.htm,MAMPRIN LOSANO Rafael,Great Britain
Canada,../../../en/results/equestrian/horse-nh001139-qorry-blue-d-argouges.htm,QORRY BLUE D'ARGOUGES,Equestrian,2004,Gelding,102UD85,Grey,Stud Book du Cheval Selle Français (ANSF),MASSIE BROOKE,,PETER BARRY,,../../../en/results/equestrian/athlete-profile-n1429684-loach-colleen.htm,LOACH Colleen,France
Canada,../../../en/results/equestrian/horse-nh001140-pavarotti.htm,PAVAROTTI,Equestrian,2002,Gelding,CAN40285,Bay,Westfälisches Pferdestammbuch e.V.,KELLOCK JAMIE,,JESSICA PHOENIX,,../../../en/results/equestrian/athlete-profile-n1429685-phoenix-jessica.htm,PHOENIX Jessica,Germany
