Athlete Country,Horse Url,Horse Name,Discipline,Year of Birth,Sex,FEI ID Number,Colour,Breed,Owner,Groom,Athlete Url,Athlete Name,Sire,Second Owner
Australia,../../../en/results/equestrian/horse-nh001698-celere.htm,CELERE,Equestrian,2007,Stallion,104QH77,Dun,Assoc. Port. Criadores do Cavalo Puro Sangue Lus.,VICTORIA DAVIES,HERWIG SHAE,../../../en/results/equestrian/athlete-profile-n1416023-davies-victoria.htm,DAVIES Victoria,,
Australia,../../../en/results/equestrian/horse-nh001699-genius-60.htm,GENIUS 60,Equestrian,2011,Gelding,106KT98,Dark Bay,Koninklijk Warmbloed Paardenstamboek Nederland,"AMELIA WHITE, ANTJE WHITE",WILMING ANKE,../../../en/results/equestrian/athlete-profile-n1416027-white-amelia.htm,WHITE Amelia,IAN WHITE,IAN WHITE
Australia,../../../en/results/equestrian/horse-nh001700-romanos.htm,ROMANOS,Equestrian,2002,Gelding,104PK12,Black,Hannoveraner Verband e. V.,DONNELLA MERRETT,CAMPTON ASHLEIGH LOUISE,../../../en/results/equestrian/athlete-profile-n1416024-jarvis-sharon.htm,JARVIS Sharon,,
Australia,../../../en/results/equestrian/horse-nh001701-zidane.htm,ZIDANE,Equestrian,2002,Gelding,104QF53,Chestnut,Danish Warmblood Society,EMMA BOOTH,AMEEN SHAHIRA FATHIMA,../../../en/results/equestrian/athlete-profile-n1416022-booth-emma.htm,BOOTH Emma,,
Austria,../../../en/results/equestrian/horse-nh001702-bellagio-4.htm,BELLAGIO 4,Equestrian,2005,Gelding,105OO18,Dark Chestnut,Hannoveraner Verband e. V.,BERND BRUGGER,VIRGINIE CARBUHN,../../../en/results/equestrian/athlete-profile-n1363834-brugger-bernd.htm,BRUGGER Bernd,,
Austria,../../../en/results/equestrian/horse-nh001703-bequia-simba.htm,BEQUIA SIMBA,Equestrian,2010,Gelding,105ZN81,Bay,Hannoveraner Verband e. V.,MANFRED STROBL,PETRA STROBL,../../../en/results/equestrian/athlete-profile-n1364297-strobl-valentina.htm,STROBL Valentina,,
Austria,../../../en/results/equestrian/horse-nh001704-cypria-f.htm,CYPRIA F,Equestrian,2003,Mare,104SL91,Dark Bay,Hannoveraner Verband e. V.,,,,,,
Austria,../../../en/results/equestrian/horse-nh001705-fuerst-chili.htm,FUERST CHILI,Equestrian,2009,Gelding,106SX22,Chestnut,Hannoveraner Verband e. V.,,,,,,
Austria,../../../en/results/equestrian/horse-nh001706-sailor-s-blue.htm,SAILOR'S BLUE,Equestrian,2008,Gelding,105WC56,Black,Hannoveraner Verband e. V.,"LOU PUCH, MICHELE PUCH",ALEXANDER BERENDE,../../../en/results/equestrian/athlete-profile-n1352178-puch-pepo.htm,PUCH Pepo,,
Austria,../../../en/results/equestrian/horse-nh001707-heinrich-iv.htm,HEINRICH IV,Equestrian,2012,Gelding,105XI66,Black,Hannoveraner Verband e. V.,JULIA SCIANCALEPORE,SARA WAHL,../../../en/results/equestrian/athlete-profile-n1364282-sciancalepore-julia.htm,SCIANCALEPORE Julia,,
Belgium,../../../en/results/equestrian/horse-nh001708-best-of-8.htm,BEST OF 8,Equestrian,2010,Mare,106FO13,Bay,Hannoveraner Verband e. V.,"C. VANGHELUWE, M. GEORGE",CAMILLE VANGHELUWE,../../../en/results/equestrian/athlete-profile-n1543134-george-michele.htm,GEORGE Michele,W. LAEREMANS,W. LAEREMANS
Belgium,../../../en/results/equestrian/horse-nh001709-eros-van-ons-heem.htm,EROS VAN ONS HEEM,Equestrian,2009,Gelding,105XJ41,Chestnut,Koninklijk Warmbloed Paardenstamboek Nederland,KEVIN VAN HAM,DORIEN VANDERWEGEN,../../../en/results/equestrian/athlete-profile-n1457175-van-ham-kevin.htm,van HAM Kevin,JEFFREY TEUNKENS,JEFFREY TEUNKENS
Belgium,../../../en/results/equestrian/horse-nh001711-san-dior-2.htm,SAN DIOR 2,Equestrian,2008,Gelding,105JB45,Black,Verband der Züchter des Oldenburger Pferdes e.V.,INGRID THILLEMAN,LIVIA VERMEULEN,../../../en/results/equestrian/athlete-profile-n1517668-claeys-manon.htm,CLAEYS Manon,"MANON CLAEYS, PHILIPPE CLAEYS","MANON CLAEYS, PHILIPPE CLAEYS"
Belgium,../../../en/results/equestrian/horse-nh001712-stuart.htm,STUART,Equestrian,2009,Gelding,105OG34,Chestnut,Verband der Züchter des Oldenburger Pferdes e.V.,C. THIBAUT DE MAISIERES,ANTOINE GUILLAUME,../../../en/results/equestrian/athlete-profile-n1488859-minneci-barbara.htm,MINNECI Barbara,"A. PREUD D'HOMME, C. HAAZEN","A. PREUD D'HOMME, C. HAAZEN"
Brazil,../../../en/results/equestrian/horse-nh001713-coco-chanel-m.htm,COCO CHANEL M,Equestrian,2007,Mare,105CW92,Bay,Koninklijk Warmbloed Paardenstamboek Nederland,,ALIX IRENE MYRIAM 1818870,,,,
Brazil,../../../en/results/equestrian/horse-nh001714-don-frederic-3.htm,DON FREDERIC 3,Equestrian,2009,Stallion,104EO63,Chestnut,Hannoveraner Verband e. V.,,VICTORIA RISKALLA DE GRANDE 1450339,,,,
Brazil,../../../en/results/equestrian/horse-nh001715-don-henrico.htm,DON HENRICO,Equestrian,2003,Stallion,103WU46,Chestnut,Hannoveraner Verband e. V.,GESTUT SCHAFHOF,VICTORIA RISKALLA DE GRANDE,../../../en/results/equestrian/athlete-profile-n1450683-riskalla-rodolpho.htm,RISKALLA Rodolpho,,
Canada,../../../en/results/equestrian/horse-nh001716-fairuza.htm,FAIRUZA,Equestrian,2009,Mare,106DB45,Bay,Unknown,ROBERTA SHEFFIELD,RICHARD NEALE,../../../en/results/equestrian/athlete-profile-n1534376-sheffield-roberta.htm,SHEFFIELD Roberta,,
Canada,../../../en/results/equestrian/horse-nh001717-lieutenant-lobin.htm,LIEUTENANT LOBIN,Equestrian,2004,Gelding,104QQ85,Dark Chestnut,Danish Warmblood Society,JODY SCHLOSS,KARIS VAN ESSEN,../../../en/results/equestrian/athlete-profile-n1534375-schloss-jody.htm,SCHLOSS Jody,,
Canada,../../../en/results/equestrian/horse-nh001718-onyx.htm,ONYX,Equestrian,2003,Gelding,105AF02,Bay,Hannoveraner Verband e. V.,JANE MACDONALD,COURTNEY PALLESON,../../../en/results/equestrian/athlete-profile-n1534374-hartvikson-winona.htm,HARTVIKSON Winona,WINONA HARTVIKSON,WINONA HARTVIKSON
Canada,../../../en/results/equestrian/horse-nh001720-sandrino.htm,SANDRINO,Equestrian,2012,Gelding,106SH36,Bay,Westfälisches Pferdestammbuch e.V.,LEE GARROD,LILLIE DURBIN,../../../en/results/equestrian/athlete-profile-n1534371-barwick-lauren.htm,BARWICK Lauren,,
Czech Republic,../../../en/results/equestrian/horse-nh001722-sterngreifer.htm,STERNGREIFER,Equestrian,2006,Gelding,104HY09,Bay,Verband der Züchter des Oldenburger Pferdes e.V.,OLGA VISTALOVA,POKORNA MAGDALENA,../../../en/results/equestrian/athlete-profile-n1443690-vistalova-anastasja.htm,VISTALOVA Anastasja,,
Denmark,../../../en/results/equestrian/horse-nh001723-davidoff-188.htm,DAVIDOFF 188,Equestrian,2010,Gelding,105QH40,Chestnut,Verband der Züchter des Oldenburger Pferdes e.V.,FAM. NIELSEN V/ MORTEN NIELSEN,ROENNOW DANIELLA,../../../en/results/equestrian/athlete-profile-n1449640-nielsen-caroline-cecilie.htm,NIELSEN Caroline Cecilie,,
Denmark,../../../en/results/equestrian/horse-nh001724-jolene-hill.htm,JOLENE HILL,Equestrian,2008,Mare,106GA83,Grey,Danish Warmblood Society,S.K. AND T.K. KRISTIANSEN,JOERGENSEN LINE THORNING,../../../en/results/equestrian/athlete-profile-n1449574-jorgensen-tobias-thorning.htm,JORGENSEN Tobias Thorning,LINE THORNING JOERGENSEN,LINE THORNING JOERGENSEN
Denmark,../../../en/results/equestrian/horse-nh001725-leeds.htm,LEEDS,Equestrian,2010,Stallion,105BT93,Bay,Danish Warmblood Society,STUTTERI THY,SERUP EMILIA SKYDT,../../../en/results/equestrian/athlete-profile-n1449573-sunesen-susanne-jensby.htm,SUNESEN Susanne Jensby,"HELMER SUNESEN, SARA SUNESEN","HELMER SUNESEN, SARA SUNESEN"
Denmark,../../../en/results/equestrian/horse-nh001726-welldone-dallas.htm,WELLDONE DALLAS,Equestrian,2003,Gelding,104JX56,Chestnut,Hannoveraner Verband e. V.,"H-H. KRISTENSEN, J.D. BJELKE",W. SOERENSEN KITT E.,../../../en/results/equestrian/athlete-profile-n1449642-kristensen-katrine.htm,KRISTENSEN Katrine,"K. SORENSEN, S. KRISTENSEN","K. SORENSEN, S. KRISTENSEN"
